nohup: ignoring input
--faucet-sol argument ignored, ledger already exists
Ledger location: test-ledger
Log: test-ledger/validator.log
Initializing...
Waiting for fees to stabilize 1...
Connecting...
Identity: A8dbc5Q2ygioFjaqQxhoZWUZvtrexucLJFj2sHcdFHkC
Genesis Hash: DdWgBiQBSEyMwRw8bwoCYHFuYVmLSJxCfMRfefoSeSrc
Version: 1.18.20
Shred Version: 35959
Gossip Address: 127.0.0.1:1024
TPU Address: 127.0.0.1:1027
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:16 | Processed Slot: 2455 | Confirmed Slot: 2454 | Finalized Slot: 2423 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2680 | ◎499.988350000
00:00:16 | Processed Slot: 2455 | Confirmed Slot: 2455 | Finalized Slot: 2423 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2680 | ◎499.988345000
00:00:17 | Processed Slot: 2456 | Confirmed Slot: 2456 | Finalized Slot: 2424 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2681 | ◎499.988340000
00:00:17 | Processed Slot: 2456 | Confirmed Slot: 2456 | Finalized Slot: 2424 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2681 | ◎499.988340000
00:00:17 | Processed Slot: 2457 | Confirmed Slot: 2457 | Finalized Slot: 2425 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2682 | ◎499.988335000
00:00:17 | Processed Slot: 2458 | Confirmed Slot: 2458 | Finalized Slot: 2426 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2683 | ◎499.988330000
00:00:18 | Processed Slot: 2458 | Confirmed Slot: 2458 | Finalized Slot: 2426 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2683 | ◎499.988330000
00:00:18 | Processed Slot: 2459 | Confirmed Slot: 2459 | Finalized Slot: 2427 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2684 | ◎499.988325000
00:00:18 | Processed Slot: 2459 | Confirmed Slot: 2459 | Finalized Slot: 2427 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2684 | ◎499.988325000
00:00:18 | Processed Slot: 2460 | Confirmed Slot: 2460 | Finalized Slot: 2428 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2685 | ◎499.988320000
00:00:19 | Processed Slot: 2461 | Confirmed Slot: 2461 | Finalized Slot: 2429 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2686 | ◎499.988315000
00:00:19 | Processed Slot: 2461 | Confirmed Slot: 2461 | Finalized Slot: 2429 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2686 | ◎499.988315000
00:00:19 | Processed Slot: 2462 | Confirmed Slot: 2462 | Finalized Slot: 2430 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2687 | ◎499.988310000
00:00:19 | Processed Slot: 2463 | Confirmed Slot: 2463 | Finalized Slot: 2431 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2688 | ◎499.988305000
00:00:20 | Processed Slot: 2463 | Confirmed Slot: 2463 | Finalized Slot: 2431 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2688 | ◎499.988305000
00:00:20 | Processed Slot: 2464 | Confirmed Slot: 2464 | Finalized Slot: 2432 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2689 | ◎499.988300000
00:00:20 | Processed Slot: 2464 | Confirmed Slot: 2464 | Finalized Slot: 2432 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2689 | ◎499.988300000
00:00:21 | Processed Slot: 2465 | Confirmed Slot: 2465 | Finalized Slot: 2433 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2690 | ◎499.988295000
00:00:21 | Processed Slot: 2466 | Confirmed Slot: 2466 | Finalized Slot: 2434 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2691 | ◎499.988290000
